date,time,site,specie,conf
10/31/2022,4:20,unburned,Eastern Yellow Robin,0.1051
10/31/2022,4:30,unburned,Red-backed Fairywren,0.5061
10/31/2022,4:30,unburned,Lewin's Honeyeater,0.3033
10/31/2022,4:30,unburned,White-throated Honeyeater,0.626
10/31/2022,4:30,unburned,Brown Gerygone,0.2216
10/31/2022,4:30,unburned,Rufous Fantail,0.1046
10/31/2022,4:30,unburned,Rufous Whistler,0.106
10/31/2022,4:30,unburned,Australian Magpie,0.1007
10/31/2022,4:30,unburned,Leaden Flycatcher,0.1028
10/31/2022,4:30,unburned,Common Sandpiper,0.2592
10/31/2022,4:40,unburned,Rufous Whistler,0.2692
10/31/2022,4:40,unburned,Red-backed Fairywren,0.1034
10/31/2022,4:40,unburned,Brown Honeyeater,0.1026
10/31/2022,4:40,unburned,Leaden Flycatcher,0.4249
10/31/2022,4:40,unburned,Lewin's Honeyeater,0.2905
10/31/2022,4:40,unburned,White-throated Honeyeater,0.5303
10/31/2022,4:50,unburned,White-throated Honeyeater,0.483
10/31/2022,4:50,unburned,Rufous Whistler,0.116
10/31/2022,4:50,unburned,Lewin's Honeyeater,0.4588
10/31/2022,5:00,unburned,Gray Shrikethrush,0.1354
10/31/2022,5:00,unburned,Large-billed Scrubwren,0.1267
10/31/2022,5:00,unburned,Mistletoebird,0.1109
10/31/2022,5:00,unburned,Rainbow Lorikeet,0.4834
10/31/2022,5:00,unburned,Buff-banded Rail,0.4043
10/31/2022,5:00,unburned,Little Wattlebird,0.1936
10/31/2022,5:00,unburned,Australian Magpie,0.1513
10/31/2022,5:10,unburned,Pied Butcherbird,0.3636
10/31/2022,5:10,unburned,Australasian Figbird,0.8268
10/31/2022,5:20,unburned,Brown Gerygone,0.1338
10/31/2022,5:20,unburned,Mistletoebird,0.1005
10/31/2022,5:20,unburned,Lewin's Honeyeater,0.1081
10/31/2022,5:20,unburned,Gray Fantail,0.2298
10/31/2022,5:20,unburned,Leaden Flycatcher,0.206
10/31/2022,5:20,unburned,White-throated Gerygone,0.2004
10/31/2022,5:20,unburned,Rufous Whistler,0.183
10/31/2022,5:30,unburned,Eastern Whipbird,0.1711
10/31/2022,5:30,unburned,Brown Honeyeater,0.3953
10/31/2022,5:30,unburned,Rainbow Lorikeet,0.2417
10/31/2022,5:50,unburned,Lewin's Honeyeater,0.1909
10/31/2022,5:50,unburned,Rufous Whistler,0.3928
10/31/2022,5:50,unburned,Brown Honeyeater,0.1044
10/31/2022,5:50,unburned,Golden Whistler,0.1237
10/31/2022,6:00,unburned,Little Wattlebird,0.1084
10/31/2022,6:00,unburned,Common Sandpiper,0.1111
10/31/2022,6:00,unburned,Australasian Figbird,0.1894
10/31/2022,6:00,unburned,Yellow-faced Honeyeater,0.1799
10/31/2022,6:10,unburned,Brown Honeyeater,0.1327
10/31/2022,6:20,unburned,Pheasant Coucal,0.1652
10/31/2022,6:20,unburned,Leaden Flycatcher,0.1271
10/31/2022,6:30,unburned,Rufous Whistler,0.5041
10/31/2022,6:30,unburned,Gray Shrikethrush,0.1461
10/31/2022,6:30,unburned,Leaden Flycatcher,0.1362
10/31/2022,6:30,unburned,Brown Honeyeater,0.2035
10/31/2022,6:30,unburned,Forest Kingfisher,0.1459
10/31/2022,6:40,unburned,Yellow-faced Honeyeater,0.1063
10/31/2022,6:40,unburned,Pheasant Coucal,0.131
10/31/2022,6:40,unburned,Torresian Crow,0.1007
10/31/2022,6:40,unburned,Pacific Koel,0.4377
10/31/2022,6:50,unburned,White-throated Gerygone,0.1058
10/31/2022,6:50,unburned,Sacred Kingfisher,0.1023
10/31/2022,6:50,unburned,Olive-backed Oriole,0.1238
10/31/2022,6:50,unburned,Pacific Koel,0.6494
10/31/2022,6:50,unburned,Pheasant Coucal,0.1382
10/31/2022,6:50,unburned,White-throated Honeyeater,0.3241
10/31/2022,6:50,unburned,Leaden Flycatcher,0.13
10/31/2022,6:50,unburned,Common Cicadabird,0.1141
10/31/2022,6:50,unburned,Gray Shrikethrush,0.1113
10/31/2022,7:10,unburned,Leaden Flycatcher,0.1358
10/31/2022,7:10,unburned,Scarlet Myzomela,0.313
10/31/2022,7:10,unburned,Mistletoebird,0.1309
10/31/2022,7:10,unburned,Gray Shrikethrush,0.182
10/31/2022,7:20,unburned,Pacific Koel,0.1112
10/31/2022,7:20,unburned,Leaden Flycatcher,0.393
10/31/2022,7:20,unburned,Mistletoebird,0.6222
10/31/2022,7:20,unburned,Pheasant Coucal,0.2057
10/31/2022,7:20,unburned,Rufous Whistler,0.1068
10/31/2022,7:30,unburned,White-browed Scrubwren,0.1278
10/31/2022,7:40,unburned,Gray Shrikethrush,0.1587
10/31/2022,7:40,unburned,Leaden Flycatcher,0.1089
10/31/2022,7:40,unburned,Little Friarbird,0.1709
10/31/2022,7:50,unburned,Leaden Flycatcher,0.7684
10/31/2022,8:10,unburned,Gray Shrikethrush,0.1658
10/31/2022,8:10,unburned,White-throated Honeyeater,0.1757
10/31/2022,8:10,unburned,Common Sandpiper,0.1653
10/31/2022,8:10,unburned,Torresian Crow,0.1875
10/31/2022,8:10,unburned,Laughing Kookaburra,0.3428
10/31/2022,8:10,unburned,Noisy Friarbird,0.1048
10/31/2022,8:10,unburned,Pied Butcherbird,0.1793
10/31/2022,8:20,unburned,Gray Shrikethrush,0.1143
10/31/2022,8:20,unburned,Little Friarbird,0.1529
10/31/2022,8:20,unburned,White-throated Honeyeater,0.5861
10/31/2022,8:40,unburned,Common Sandpiper,0.1506
