Little Egret
Caspian Tern
Rainbow Lorikeet
Black-bellied Plover
Australian Magpie
Barn Owl
Magpie-lark
Leaden Flycatcher
Brahminy Kite
Common Myna
European Starling
Common Cicadabird
Mallard
Fan-tailed Cuckoo
Wandering Tattler
White-browed Scrubwren
Osprey
Brown Cuckoo-Dove
Whimbrel
Pheasant Coucal
Little Corella
Black Swan
Ruddy Turnstone
Masked Lapwing
Eurasian Coot
Little Wattlebird
Forest Kingfisher
Gray-tailed Tattler
Brown Thornbill
Rufous Fantail
Black Kite
Peaceful Dove
Sulphur-crested Cockatoo
Gull-billed Tern
Australian Reed Warbler
Black Noddy
Eastern Yellow Robin
Black-faced Cuckooshrike
Gray Shrikethrush
Olive-backed Oriole
Spangled Drongo
Sacred Kingfisher
Welcome Swallow
Laughing Kookaburra
Red-backed Fairywren
Cattle Egret
Little Bronze-Cuckoo
Rainbow Bee-eater
Noisy Miner
Pacific Golden-Plover
Silvereye
White-bellied Sea-Eagle
Blue-faced Honeyeater
Black-faced Monarch
Spectacled Monarch
White-winged Tern
White-winged Triller
Brown Honeyeater
Mistletoebird
White-throated Honeyeater
Gray Butcherbird
Lewin's Honeyeater
Great Cormorant
Australasian Figbird
Channel-billed Cuckoo
Brown Goshawk
Great Crested Grebe
Australian King-Parrot
Pied Butcherbird
Noisy Friarbird
Torresian Crow
Bar-tailed Godwit
Eastern Whipbird
Gray Fantail
Brush Cuckoo
House Sparrow
Scarlet Myzomela
Whiskered Tern
Great Egret
Bell Miner
Golden-headed Cisticola
Golden Whistler
Gray-crowned Babbler
Shining Bronze-Cuckoo
Dollarbird
Wedge-tailed Shearwater
Pied Stilt
Pied Currawong
Spotted Dove
Masked Booby
Rufous Whistler
Spotless Crake
Great Crested Tern
Buff-banded Rail
Sharp-tailed Sandpiper
Australasian Swamphen
Brown Quail
White-breasted Woodswallow
Bar-shouldered Dove
Rock Pigeon
Galah
Peregrine Falcon
Tawny Grassbird
Little Friarbird
Pacific Koel
Striated Pardalote
Short-tailed Shearwater
Silver Gull
Jacky-winter
Wood Sandpiper
Willie-wagtail
Zebra Dove
Sanderling
White-throated Gerygone
Wompoo Fruit-Dove
Glossy Ibis
Green Catbird
Red-tailed Tropicbird
